	text	class
5777	еще бы один билетик и был бы счастливый   	0
5778	   когда каждый день праздник не чувствуешь никакой атмосферы нового года  хотя лучше в лодке на шкуре тигра  чем фото оли…	0
5779	как сегодня хорошо было  он и подходил ко мне и тд  но придет полина и все   	0
5780	 snow  evening  heart  love  donetsk  donbass  ukraine вот это я понимаю снег выпал   	1
5781	понял что adc играть не моё  продал кэйтлин и наконец купил фидла 	1
5782	завтра олимпиец пробежит с факелом в н тагиле мы должны его встречать  это такая честь  посмотреть на бегущего мужика с огнем  dd	1
5783	 эти чечены  завлекают потом пичаль	0
5784	сегодня   как не стало моей любимой бабушки  бабуля тебя очень не хватает    	0
5785	   если соединить firefox и thunderbird  большой комбаен получится    	1
5786	 когда в италии уже заработает    сколько можна      	0
5787	да да  это не возможно вылечить  	1
5788	о еще и вика подключилась давайте завалите меня сообщениями  	1
5789	чем я заслужила такой вечер  соседи сверху включали сначала   ах какая женщина   а теперь   голубая луна  	0
5790	 да ващее  я еще и книгу читала до этого и это пизда  как я влюбилась в дарси	0
5791	мимими  и опять макияж невидно  х    	1
5792	грамотность  мля    навеки   – это не   на веки    навеки вы связаны клятвой любви  а на веки ей можно яйца свои тихо положить  пока она спит 	0
5793	замерзла так что не могу согреться уже минут    зато довольная  теперь уроки и спаать  	1
5794	   сплю на трёх подушках и укрываюсь двумя одеялами  а всё потому  что кровать огромная  а спать на ней не с кем     	0
5795	 нет  не приходит    я то под землей  то над ней  мб поэтому 	0
5796	я думаю мне надо завести кота чтобы он будил меня по выходным  	1
5797	 а нам то как страшно  тем  кто в волгограде живет  	0
5798	 оу  спасибо  приятно  и тебе отличного новогоднего настроения   	1
5799	   когда смотришь как идет дождь кажется что природа тоже плачет и ей так же плохо как и тебе   	0
5800	ты самый лучший   пиздец   в моей жизни   teamfollowback	0
5801	все прошло класно просто бомба прокачали потанцювали       але дуже втомилась 	0
5802	 ох     сама то цела  будь осторожнее	0
5803	    и немцова  но сбу ему вовремя ехать запретила   	0
5804	это конечно классно что потом у нас будет больше времени  но зато щас я ничего не успеваю блять   ни к зачетам готовится ни рисовать 	0
5805	   вы сколько уже встречаетесь   у  скоро будет год  х  крутые  у  влюбленные   	1
5806	пока вы спите  я встречаю рассвет у биг будды    	1
5807	по мотивам    прослушал на волосок от бреда  ниче так   даже понравилось 	1
5808	вы бы видели и слышали  что творится у нас за окном  ковровые бомбардировки отдыхают   	0
5809	всё я обиделась на него  а на кого он знает      	0
5810	  и тут богдаша признается  что даже ссылку не жмакнул   	0
5811	кому понедельник день тяжелый  а кому вообще пиздец   	0
5812	 на славу  а во под конец  мне что то не очень  	0
5813	как же я в школу хочу   егэ это так легко   	0
5814	вчерашний бешеный день на работе и ночной ветер дали о себе знать  результат головная боль с утра  	0
5815	день начался отлично  не кого дома нету  музыка на всю   	1
5816	первая реакция на мои фото  d 	1
5817	купите мне дом в калабасасе  ну прошу  любой из этих  ну пожажа  	0
5818	     спасибо  а я   проебал d	1
5819	уже несколько раз снилось  что либо на вписке  либо дуем с  хах  мозг говна не пожелает  d	1
5820	 на какой   я нормально   вроде не чего  в очках иногда хожу    полюбила дегениратов d свой класс короче  норм всё кароче   	1
5821	  дурна чи шо   аахах частинку донбасу тобі 	1
5822	  часа в электричке пзд  я устал   хочу на ручки	0
5823	предчувствую  что хороших получу от ксю сегодня  	0
5824	ничего нет интереснее на свете  как  страница бывшего      статусы  давай пофолловимся	1
5825	линукс решил перевести часы на час назад   	0
5826	   фореест  я обещал     	1
5827	нужно будет тоже попробовать  только мишку жалко  	0
5828	 пошла ты  я просто с горя что ты петляешь  	0
5829	 да я тоже не совсем нормальная   	0
5830	      собачек жалко  отравятся       	0
5831	я не знаю как это называется  но всякие мысли крутятся в голове и они очень ужасные  	0
5832	   осталось ещё совсем немного  но это   немного   кажется целой вечностью  	0
5833	 да пора уже прогуляться    кстати тоже голова болит   пошли гулять   	1
5834	 ждём не дождёмся конца этих мук 	0
5835	как же больно    просто больно где ты сейчас именно ты должна понять именно ты слышишь	0
5836	влада меня послала а я даже не знаю что я такого натворила 	0
5837	любую депрессию надо встречать с улыбкой  депрессия подумает  что вы идиот  и сбежит  d	1
5838	соседке с первого этажа помешала лавочка у подъезда  понимаешь ли она за свои цветуёчки переживает   и ить убрали   	0
5839	 потому что они не только переживают плохие моменты  но и транслируют их в мысли в слова  и в твиты  да 	1
5840	еще даже до сотки не дошла    bethany mota giveaway	0
5841	 да уж  очень больно   жаль что они этого не понимают  	0
5842	настя  ушла на  ак теперь мне будет скучно  	0
5843	сколько людей на тебя подписано на аск         	0
5844	    счастье радость 	1
5845	сегодня у мамы с папой годовщина свадьбы        лет	1
5846	  а мне осталась последняя серия    	0
5847	всё я обиделась на него  а на кого он знает      	0
5848	 у меня в   переводные спасибо думаю удача мне точно не хватает  тебе тоже удачи 	1
5849	  да у него норм фамилия  	1
5850	     читаювзаимно нуу  любимые  фолловьте меня   я ведь всех фолловлю  без исключения	0
5851	    хмм  надо подумать  у меня фантазия плохая 	0
5852	    рекорд муниципального округа 	1
5853	жировозка  носовозка  губовозка и туманникова    ахаха	1
5854	   интернет лагает  скорость падает   	0
5855	 все так плохо  это не из за магнитных бурь  ибо мне тож плохо несколько дней  ща скорая увезет 	0
5856	  людям в других странах телеграм не нужен тк там ватсап работает хорошо и фото видео отправляется быстро 	0
5857	 приветик  как бы тебе не   ломали  ступу  никуда ты далеко от нас не улетишь  рада что мы не разминулись 	1
5858	    ты тоже              	0
5859	    кто первый прокомментирует тот получит     amp      	1
5860	    а так у меня есть планы выпить     литров марочного вина  посмотреть несколько терабайт аниме и сдохнуть 	1
5861	сегодня на площади что то будет вечером насчет старого нового года  я хотела сходить   	0
5862	   с ринатом збсь гуляем  	1
5863	бесит  вот написано  что человек онлайн  а потом смотришь заходит    мин  назад   	0
5864	 ты когда сказала чтобы я не говорила об этом я сразу догадалась    	1
5865	мир сошёл с ума  афимблер набирает  net программистов  как низко они пали      	0
5866	 я бы с удовольствием  но ты же знаешь 	0
5867	 ахерела  такой шанс раз в жизни  ну не считая яичницы в   утра   	1
5868	 да  я уже и надежду почти утратила   снукерный добрый молодец   	1
5869	   ну пати так пати    	1
5870	проводили братиков в буденовск  тоска печаль   	0
5871	   хочу писить  но боюсь пропустить интересное 	0
5872	 откуда мужской пол в женском логове   d	1
5873	пипец  как они расстались она же его любила очень сильно  	0
5874	 та это настолько ужасно шо я полгода с хвостом онли буду ходить 	0
5875	   продолжаю читать   монте кристо    эжени данглар   лесбиянка    	1
5876	стараюсь брать от жизни всё    на все предложения отвечать да   	1
5877	 крутоо оочень  сильно обратно хочу   там красиво и вообще грустно было возвращаться домой	0
5878	сегодня порадую своих домашних японским ужином  так что после работы пойду забирать этот самый ужин  	1
5879	 у нас балльная система по физике и мне не хватило     балла    до  	0
5880	цветы женщине надо дарить не до  а после  в надежде что между        	1
5881	если нет денег на хорошие духи лучше вообще не духориться   я сейчас задохнусь     в добрый путь 	0
5882	      наконец то ты тысячница   поздравляю 	1
5883	о  внезапно в парке наблюдаю свадебную фотосъемку  невеста   страшненькая кореянка  но процесс забавен    	1
5884	ураа сегодня в       иду на фильм бибера  а вандюх у нас не показывали    	0
5885	    приветствую тебя новый читатель  добра тебе   	1
5886	 завтра в школу так не хочу аа   	0
5887	 конечно наверно поэтому у меня взаимный позитив со множеством людей	1
5888	   берешь змею и засовываешь ее хвост ей в рот  после готовишь   вещь в себе   	1
5889	с четверга ждала этого дня  зря столько переживала 	1
5890	начинается      юбилейный район 	1
5891	ура  вот и добралась без потерь  жизнь налаживается  а на улице снова снег пошел    	1
5892	обидно когда скучаешь а тебе не верят      	0
5893	с наступающим новым годом друзья    	1
5894	какой будет эта зима    самая лучшая  	1
5895	   осталось ещё совсем немного  но это   немного   кажется целой вечностью  	0
5896	 опа ну пизда же им впринцепи блин жалко я не во сносном составе 	0
5897	стал замечать  что в жуйк только пишу  но мало читаю  вообще как то от сообщества оторвался   не нравится мне эта моя тен	0
5898	  в  ктохочетстатьмиллионером выиграли    тыс поздравляем молодцы    ковальчук 	1
5899	   вечером участники делали милые подарочки тренерам и радовали нас песнями   класс   шсв  отдых	1
5900	надо делать дела и вытащить себя на улицу  но под одеялком так тепло и уютно   	0
5901	я же девочка  почему я должна знать  как сделать  чтобы сервер пинговался      	0
5902	паранормальное явление немного разочаровало   	0
5903	   по поводу заминирования станций метро        євромайдан 	1
5904	q  ты самая красивая девушка из    классов  хотя и во всей школе   a  	1
5905	как не введешь в поиске без сна   то выпадает треки  последняя осень ft nala real  облака  и ntl   когда хоронят молодых    грустно       	0
5906	 маша  ты не просто хорошая  ты ахуенская   шлем лучи поддержки от меня  моего сына и моих котов 	1
5907	классное фото         	1
5908	до вторника нормальный интернет  я буду скучать  	0
5909	села на диету  теперь вся семья травит меня жареной курицей и макаронами  	0
5910	веселый вечер    такое в моей практике впервые   	1
5911	мальчик красавчик в маршрутке засмущал меня ужасно           	1
5912	закон   твистера    если захочешь  то твое лицо тоже будет у моей попы   	1
5913	 обманул  не тыщу  а     объявили  сволочи  из за того  что он проблемно снимается   а у меня с собой и нет столько   	0
5914	    я постараюсь спасибо большое 	1
5915	   весенняя хандра напала     	0
5916	  короче ты соль не ешь больше  а сама ее откладывай  захотелось посолить   а ты хоба щепоточку в другую баночку    	1
5917	 это то о чем ты думаешь  мама рада ахахх	1
5918	 я смотрю  там тоже снега нет  по ходу  только америка потерпает от него 	0
5919	  вони стали цапами відбувайлами      	0
5920	мне седня в универ на одну пару  на первую  которую ну никак нельзя пропустить 	0
5921	 а че разъехались зубы   терпи пройдет	0
5922	не охото совсем делать первую вылазку в новом году  я как мишка из берлоги    	0
5923	т  говорить только что сильно ему нравлюсь но терять он меня боится и не хочет    ниче не	0
5924	любовь это ваза а ваза стекло а все что стеклянное бьётся легко      ru ff	0
5925	партнерская программа №  в россии зарабатывайте просто читая новости 	1
5926	 ты заебал  мне ходить пе в чем       	0
5927	а в этот момент и мне не хватает редактирования твита    	0
5928	 да всё нормально  просто я на вопрос не ответила 	1
5929	аа  ребята конечно молодцы   хотя я понимаю что это фильм  но все ровно   даа   	1
5930	наткнулся на песню к новому фильму   полицейская история        в исполнении    уже   часа только она и играет в колонках   	1
5931	ну просто шикарная песня  надеюсь  что фильм не подкачает    ♫   dirty paws   by  	1
5932	 ок  рады  что всё разрешилось  если будут вопросы   пишите  обязательно поможем  хорошей пятницы     	1
5933	   мне не хватает страсти в наших отношениях     	0
5934	   прочитала письмо охлобыстина к президенту  жаль что ваня оказался таким настоящим боевым пидорасом    синдромканделаки  …	0
5935	если ты все ломешь  роняешь  проливаешь и падаешь  и тебе от этого весело это нормально  мне очень важен ответ на этот вопрос  	1
5936	кстати я открывал твиттер чтобы чето умное зарядить  а тут висельница  я угорел и забыл  что хотел   	0
5937	  настроение гавно   сегодня умер мой хомячок тимоша   	0
5938	    доброе утро  милая  	1
5939	люблю задачи в стиле   мне тут социальная сеть нужна  сделаешь за недельку      	1
5940	стёрла ноги в кровь  у меня не мозоли  а жутко болящие  кровоточащие раны  пиздец теперь   	0
5941	я знаю  в кого у меня этот идиотизм в голове 	0
5942	последняя моя олимпиада в этом году какое счастье еще три часа и я до весны свободен 	1
5943	иногда хочу прям жестко приготовится к культурологии  но потом вспоминаю  что преподавательница сука и шлюха   желание мигом пропадает	0
5944	мамуля знает чем меня порадовать   coffee  lavazza   куйбышева   а 	1
5945	сижу в сади жду   пару бжд   сидит рядом жалуется друзикам на без башенный треш политеха 	1
5946	  а вот фигушки  го в скайп  	0
5947	встречаетесь может быть    нет  	0
5948	   я вот без плеера не выхожу на улицу и если даже иду среди толпы угадайте к кому всегдаобращаются с вопросом 	0
5949	 между прочим нормальная  я все жду уогда мне стукнет    и я сменю паспорт и фотку на нем	1
5950	 да   завтра придется отдавать   она им пахнет  	0
5951	         винт юсб китайский   с болтами для веса	1
5952	 хорош ныть  иди в тренажерку и работай	0
5953	индусы  даже в сингапуре индусы    	0
5954	"офигенный день 
день позитива 
бегал как идиот целый день 
танцы офигенны  хоть я и ракал но мне очень понравилось "	1
5955	ахаха перепис с кристиной    	1
5956	жизнь   боль  когда в воскресенье на работу к    	0
5957	бл  в час ночи по тнт   v   значит вендетта  я усну ведь   не могли по раньше то показать    	0
5958	не покидает мысль  что мне надо пойти учиться на фотографа    но я не умею этого делать    но ведь научат    но там столько бабла нужно    	0
5959	 оуу   наверное очень больно  хорошо  что починить не проблема	0
5960	 ну как бы я сначала умная  а   к этому еще и хорошенькая 	1
5961	место голевуд написанно мегафон что за нах     	1
5962	уухх   классно   сколько песен выбрала   все классные    	1
5963	 мне лайк пришел  а я зашла  а его нет  и всё      	0
5964	злая какая   я же не виновата что он тебя обидел 	0
5965	  путин сука  подкидывает чахоточных из гулага    женевский протокол по пизде	0
5966	или бананы мелкие или калькулятор большой   	1
5967	    предновогодние обнимашки 	0
5968	   по матике писали вариант егэ  сделала    заданий   но кайдашка сказала  что я молодец с 	0
5969	   черт  хоккей аж в полчетвертого утра 	0
5970	 блять  я уже это не помню 	0
5971	все прошло збс  зашел к подруги навестил  завтра на операцию идет    	0
5972	   ашта ла вишта  бэйби	0
5973	говорю  что ненавижу всех  а на самом деле всего пару человек  потому что боюсь их обидеть   	0
5974	 неа    а во сколько он начинается каждый день 	0
5975	  почему ты меня не читаешь  ноздря  d	1
5976	 я давно на них подсела  и клипы у него обалденные	1
5977	блин хочу домой а мне с папой на треню   	0
5978	тюменская челядь в очереди за халявкой    	1
5979	   ну вот  второе совместное фото         аа  чудо мое      	1
5980	ну вот и окна привезли и не прошло ли     лет  мороз будет а я окна вставляю замечательно  вот куда мне податься я же тут замерзну 	0
5981	давно себя так фигово не чувствовала     	0
5982	прогресс  я сегодня о нем думала всего      раз   сомнительное достижение  	0
5983	  спасибо тебе за первую часть чемпионата   если бы сказали  что локо будет делить первое место с сенитом   я бы офигел   	1
5984	подписывайтесь на западных корреспондентов в киеве  они   нет слов  как дети малые в ужасе взирают на хулинанов аборигенов 	1
5985	 вхахах я не упала я лягла на ступеньки та ну тышо   	1
5986	если вы хотите иметь то  что никогда не имели  вам придется делать то  что вы никогда не делали    	1
5987	   отлично  it правда works  случайно набрёл на pidgin webkit   давно	0
5988	на голову давит      	0
5989	безумно хочу встретиться уже с димой  но сегодня нельзя  собьет мне все мысли о физике   	0
5990	 ты еще в туалете громко дыши и шкреби рукой дверцу  будет атмосферно для окружающих   	1
5991	меня нашел парень с идеальным музыкальным вкусом как у меня 	1
5992	почему у нас нет доставки сигарет на дом  я б заказал  а так придется ползти    	0
5993	 а редирект на мобильную версию не сработал    	0
5994	но на самом деле перед сенсором было много шевелящихся людей  он ужасно смешно лагал из за этого  d	1
5995	 постоянно ругается что типа сервис не в порядке вот же купила баба порося  	0
5996	скоро нг   а я не знаю  что падарить близким  	0
5997	он вчера настолько пристально смотрел  что я засмущалась ахахах 	1
5998	 я за тебя пил  охуел чтоли  	0
5999	только моя подруга может вместо пудры накраситься детской присыпкой   	1
6000	     ну кто же если не ты чувак  спасибо  	0
6001	  так то мы с лизой хотели помочь ему доесть d	1
6002	хей     я так соскучился по тебе   как ты там поживаешь  	1
6003	 вот они      	1
6004	эх     что ж мне сны то дурацкие снятся когда ты не рядом        	0
6005	   какой адрес ты запомнишь на всю жизнь    адрес рики  	1
6006	на двери маршрутки   не хлопайте дверью  водитель пугается        	1
6007	настроение какое то непонятное  и на улице дождь   	0
6008	блин  я должен был спать ещё часа      нет надо было разбудить  уроды  	0
6009	я не знаю куда мне повесить плакат гринов   	0
6010	q  приветт  как ддела  спроси меня   a  	1
6011	  моются те кому лень чесаться   а фоменко выходит   я  ленивая     	1
6012	мне подарили подарки  а я лоханулась  	0
6013	наивкуснейший сыр и любимое розовое игристое    снова приятный семейный вечер за просмотром шоу виктории сикрет  	1
6014	ты что дурачок    нет    	0
6015	завтра будильник поставила на       жеесть	0
6016	ну вот  кольцо сломальсь  самое самое любимое  теперь неделю без него мучиться    	0
6017	да  заводная музычка   што там ещё и звук	0
6018	 это каких  моторола что ли     или power от ibm  как раз свои so c с cpu у них есть сейчас  но сами они их не производят	1
6019	  тебе ничего не снится  	0
6020	  не запугала    обычно    дней держат    я тут   дней  	0
6021	провел николь с роксоланой домой  пригласили на чай  в итоге не только попил чай  а еще и покупался в норм условиях  	1
6022	   слухи всякие ходят про исчезновения людей да про то  что они иногда возникают опять  но уже лишенные ума 	0
6023	вот и всё  сессия закончилась  все разъехались по домам      я не вынесу   недели без моих девочек   	0
6024	    ща ещё одну  	1
6025	кто то ходит нормально не забрызгивая ноги по колено а кто то я  	0
6026	   почти в каждых пиратах рт неимоверно радует своими политическими позициями в отсутствии понимания и фактов     	1
6027	      а чего ждать  можно и самим побрить  d 	1
6028	к сожалению   навсегда   длилось не так долго   	0
6029	  все равно не сбываетс    	0
6030	 хочу что такое   такое   что прям аах понимаешь   меня   даа d 	1
6031	 он вообще халтурит   посл время	0
6032	   я понял суть жизни в сети   это  когда с днем рожденья тебя поздравляет яндекс   	1
6033	 ты думал что я буду плакать  рыдать ночью в подушку  не будет этого    похуизм не лечиться     	1
6034	у всех столько клевых ярких фоток в инстаграме  а у меня даже настроения нет на такие яркие цвета  	0
6035	музыка без взрослых стала прослушиванием на всю мощность тяжелого рока в темноте d  с незнакомыми людьми к тому же 	1
6036	бляя   у меня классеые стирающие ручки пересохли    печаль    почему ж я раньше не заглянул    я как всегда еблан   	0
6037	взломал пару игр  кому какую игру взломать   обращайтесь  	1
6038	  да     и по той же причине что и у тебя 	0
6039	   и ведь нашёл же где то футболку с надписью сср   	1
6040	найду себе таких же чокнутых как и я   будем    декабря ходить и всех поздравлять   	1
6041	но все же блин лучше бы ты не писала   только тебя забыл и вот опять   вспомнил тебя и настроение в нули  опять ебаные загоны и все по новой	0
6042	 снова припадки легкомысленного зарывания в бред и хаос  прокачивание скилла радостного похуиста с мучками совести  d	1
6043	 мне кажется это всё запомнить со всеми окончаниями глаголов и тд вообще не реально если не говорить  а мне говорить не с кем    	0
6044	мамец вчера агрессивно отжал у меня майку с надписью   geek is the new sexy   которую я купил себе домой носить  	0
6045	 он был большой и я его так и не достал  	0
6046	 ладно  тогда возьму    вот только ему б долететь  	1
6047	если любишь   то отпусти    отпустил      самое трудное сделал	0
6048	   как же я не люблю писать этот словарь по биологии  неужели без него никак  	0
6049	 а вот когда я похудею тогда мама перестанет делать подобные покупки  закон подлости  	1
6050	    бидный всё наладится  	0
6051	   часов я спала  а остальное время а школе была   	1
6052	терпеть не могу когда мне врут  а вот и всплыла очередная правда  браво браво браво 	1
6053	   лучшее предохранение   воздержание    	1
6054	шел человек весной  видит лавка окрашена  сел и окрасился 	0
6055	это подстава подстав  если пообещал  так делай  зря только гулять согласилась 	0
6056	вечная память михаилу тимофеевичу калашникову   	0
6057	    моя любимая    я скучалаа  очень    как ты   малыыш    	1
6058	моя ава в вк   сменила наконец то с лета стояла старая   	1
6059	 у нас в городе я давно не видела играющих  мне показалось  что это уже в прошлом   	1
6060	   люблю зиму за то  что люди носом разблокируют телефоны  и такие оглядываются типа без палева   а я то все вижу  да да 	1
6061	отклик не грузится     	0
6062	    давай   будет круто  	1
6063	 да                                                                                                                             	0
6064	  ретвитнул с айпода 	0
6065	поздравляю  и всех белиберов   это настоящее счастье для вас    даже небо на минутку стало фиолетовым  d	1
6066	как же я люблю репетиции с этим неуправляемым валерой  хорошая работа  ребят  надо выступать 	1
6067	   волшебный новогодний чай подбой курантов   	1
6068	 да я даже как тоо не знаю как объяснить 	0
6069	бооже как мы на бесились с леркой  спасибо за день лерок 	1
6070	varinhouse elvis presley задумчивая прелесть    	1
6071	ахаххаа подьем сибири и дальнего востока приоритет путена  он видел цены на жд и авиа билеты оттуда и туда  еблан бля	1
6072	заставляют учить географию  так не хочется   	0
6073	подруги есть  а мужиков намутим    	1
6074	потерянная грустная настя в аэропорту амстердама    	0
6075	скоро уедут    только об этом и говорят  а я не могу слышать аа   	0
6076	 теперь не знаю что вообще делать  	0
6077	как то не задалось утро  представляю каким ужасным будет этот день  	0
6078	посмотрела второй астрал интересный но абсолютно не страшный ни одного страшного момента даже 	0
6079	      даа  вы     	1
6080	 лучше бомжуй  у нас зачетная неделя   и это пиздец просто  лечиись  	0
6081	 вообще говорили вторник       а что будет никто не знает это же наши тренера 	1
6082	хочу бухать оч  но увы  придется терпеть до четверга 	0
6083	приехали   в зиму   и в пробки   	1
6084	 нет слов  прекрасный парень растет   повезло тебе с братиком   	1
6085	я даже знаю  кто меня запалил     и кто же    	1
6086	так много фоток с ивента по второму сезону фи мозга  а сам ивент я даже не смотрела  ну что за дела       	0
6087	   чарли  котенок  как переживает  мальчик         	0
6088	    ну понятно  упиралась и за стулья где хваталась на работу унесли  и сказали  здесь сиди         	1
6089	 кстати  душистая не слишком  только при приближении  на всю комнату аромата нет  	0
6090	кто  по твоей версии  заслуживает звание   человек года      к сожалению я не могу дать никому такую номинацию  	0
6091	 ахахахаххаах      веселый раздолбай        ахахахахахахаха	1
6092	соизволю с больничного прийти сегодня на одну практическую  	1
6093	сделали ролик про нашу поездку на маврикий  только меня и рустема забыли в него включить    	0
6094	 вообще то у меня с памятью все в порядке    	1
6095	тепло   оч  издалёка    экзотичный  но оч  редкий  	1
6096	 ну от меня точно это не зависит   не сильна я в этом   	1
6097	nintendo что удивила на vgx  донки конг на wii u это конечно круто  но там же уже и так дофига платформеров и нет стратегий и jrpg   	0
6098	 читал  какие куски уже в памяти нет  но не целостная картинка  до неё еще далеко    	0
6099	делать абсолютно нечего    сижу и тыкаю по соц  сетям      	0
6100	   пацантре смотрят футбол     ну а мы как всегда     девочкитакиедевочки irina liashko   тапас барcлона… …	1
6101	 в гости к тебе идти по парапету и не верить бреду что тебя нету       	0
6102	  его ближайшее будущее   пюрешка из сельдерея   такая гадость  но он есть  ему нравится    	1
6103	 неа  как раз таки именно сейчас мне нужен контакт чтобы договориться о встрече    так что он вообще не во время     бесит	0
6104	 я хочу раньше ложится я не хочу поздно  я хочу со всеми говорить но я засыпаю пока говорю  	0
6105	 ыы  спасиба  надеюсь  год рождения твой верно запомнил 	1
6106	   отец    ти детей ищет ту скотину  которая на свадьбе желала детей как звезд на небе          	1
6107	мне кажется     или я реально никому не нужна и меня все игнорят  нет не кажется    	0
6108	 моя злобнасть расстроина  d чта жи мни тепир дилат    	1
6109	сижу с компом на кровати и реву  мама заходит спрашивант ну я ей сказала  мы с ней поговорили   в оконцовке вместе сидим плачеи    	0
6110	 ты скоро узнаешь  что он делает     потерпи чуть чуть   	1
6111	я никогда больше не буду покупать и есть козинаки на площади  вот сволочии    	0
6112	   ненавижу выходить из теплой машины в холодную улицу и переплетать в школу  	0
6113	 вроде нет   но я не билибер и не знаю    т к  не слежу за новостями  	0
6114	аймрынбээ туслаарай өвдөөд бна гээд нэг хүн гадаа орилоод байхы   	0
6115	паша отвернулся  укрылся одеялом и спрятался под подушку  лишь бы я не дышала в его сторону     	0
6116	     работал в банке  стыжусь   ростовщичество   тяжкий грех 	0
6117	готовить  это долгоо   ешь всё  что видишь        сказал вася  аграном 	1
6118	ночью была температура    я думала я здохну     	0
6119	ну чтож   подведем итоги дня фарма ты просто чудо когда  я тебя понимаю после пар вкусные пироженки и замечательный вечер круть	1
6120	пожалуй самый большой недостаток общения по интернету  like те  кто сталкивался с этим     	1
6121	 поубивать всех охота после такого чтения  	0
6122	 ну не буду я уж позорить тебя  проститня  d	1
6123	меня обидели во сне  а не приятно на яву   	0
6124	да уж    как тяжело вспоминать тех людей которых больше никогда не увидишь      	0
6125	вот ведь гады      насильно перестраивают 	0
6126	хочу уже домой  разговариваю с мамой и блиин 	0
6127	   приготовил слоеное печенье  пекарь    лвл хаха 	1
6128	    ого  не видела такой   магадан сбылась мечта идиота       снимок  магаданской правды  	1
6129	как же хорошо быть с тем кого ты реально любиш       	1
6130	ньюкасл в цьому сезоні просто неперевершений   аа  	1
6131	мне сейчас такой лютый секс с ms sql предстоит     кстати  как там правильно указать диапазон для поля с датой и временем	0
